
59,126,0
50,122,0
51,165,0
66,80,0
88,105,0
68,121,0
57,75,0
68,130,0
86,126,0
83,132,0
144,159,0
119,87,0
113,121,0
100,148,0
99,114,0
124,74,0
106,135,0
66,116,0
111,122,0
62,122,0
111,114,0
162,123,0
176,172,0
135,136,0
160,157,0
183,128,0
181,143,0
156,100,0
160,125,0
120,113,0
220,123,0
210,128,0
223,150,0
167,135,0
217,130,0
224,152,0
170,132,0
227,119,0
212,116,0
220,151,0
239,130,0
292,106,0
294,107,0
279,137,0
256,135,0
312,154,0
249,107,0
318,131,0
273,119,0
273,169,0
360,114,0
377,170,0
395,108,0
377,111,0
385,141,0
345,111,0
364,125,0
353,146,0
334,104,0
352,124,0
420,126,0
449,157,0
432,130,0
412,135,0
386,137,0
381,150,0
426,114,0
436,131,0
442,104,0
421,128,0
49,309,1
75,332,1
22,320,1
58,331,1
43,369,1
70,377,1
90,332,1
41,373,1
51,326,1
55,342,1
111,359,1
88,367,1
61,329,1
83,317,1
88,332,1
71,304,1
88,330,1
89,336,1
96,332,1
91,324,1
109,335,1
126,291,1
115,312,1
101,339,1
142,303,1
74,328,1
97,337,1
118,323,1
86,333,1
130,347,1
138,333,1
122,372,1
113,344,1
142,333,1
183,313,1
140,335,1
120,348,1
108,334,1
188,342,1
177,322,1
175,348,1
186,320,1
188,288,1
159,352,1
129,345,1
155,368,1
165,302,1
157,358,1
166,330,1
202,346,1
205,340,1
217,305,1
240,346,1
250,319,1
223,352,1
204,343,1
207,328,1
186,332,1
225,367,1
203,342,1
247,352,1
295,341,1
210,356,1
223,334,1
291,339,1
245,323,1
252,332,1
275,352,1
251,334,1
268,333,1
257,366,1
329,365,1
300,351,1
303,319,1
285,350,1
331,346,1
272,321,1
278,329,1
268,373,1
291,333,1
356,338,1
344,336,1
352,333,1
362,327,1
377,311,1
357,321,1
362,329,1
329,332,1
305,338,1
355,359,1
386,297,1
365,309,1
401,316,1
364,363,1
375,376,1
360,330,1
414,341,1
425,318,1
379,336,1
355,348,1
